Scenario,Group,CAT,p16,p50,p84
FSR,NAC,Albañilería,34.049920105882784,37.470790253149545,40.33743168190045
FSR,NAC,Hormigón 1-3,30.574860250434984,31.272667927336414,33.063895573608335
FSR,NAC,Hormigón 4-7,11.680610874763694,12.383717893686336,14.58822484289073
FSR,NAC,Hormigón 10-24,11.216072223340845,13.29023637145404,15.67760525711077
FSR,NAC,Madera,0.4610934598446905,0.6451583615391299,0.8787808189534598
FSR,NAC,Adobe,0.4780270285824303,0.6944013546367608,0.7620566338959909
FSR,NAC,Hormigón 8-9,1.63238766591176,2.0569459549883016,2.4618498897238505
FSR,HAZ,Albañilería,52.02850040047118,52.49935056854764,53.29209313278816
FSR,HAZ,Hormigón 1-3,20.88134901055561,20.973234243373703,21.33926449362289
FSR,HAZ,Hormigón 4-7,11.100105054410031,11.25726908459062,12.57895154662596
FSR,HAZ,Hormigón 10-24,11.493299088847948,12.287146864763445,13.347159899019324
FSR,HAZ,Madera,1.8643307424395097,1.9486894455560828,2.0819411765970535
FSR,HAZ,Adobe,,,
FSR,HAZ,Hormigón 8-9,0.06983870550704836,0.07211696318568209,0.07784417112558123
INTER,NAC,Albañilería,35.373795775666885,37.752335503939484,40.028919646405136
INTER,NAC,Hormigón 1-3,27.257235571133354,28.87492128486611,29.68184212749598
INTER,NAC,Hormigón 4-7,12.110462249094443,14.105498125690318,16.724303926626934
INTER,NAC,Hormigón 10-24,14.223509459911032,14.618576329899602,17.242353716181626
INTER,NAC,Madera,0.6497268774370363,0.6716118327050309,0.8299982936910028
INTER,NAC,Adobe,0.6421644837947525,0.8934250918183135,1.0497355931085957
INTER,NAC,Hormigón 8-9,2.193134981265685,2.277862222806811,2.7039686270494268
INTER,HAZ,Albañilería,51.48544501943619,52.33684858412276,52.45470881480853
INTER,HAZ,Hormigón 1-3,19.279999867979974,19.67554696753292,19.828244375211543
INTER,HAZ,Hormigón 4-7,11.967345585679505,12.112176636667265,12.808820966530448
INTER,HAZ,Hormigón 10-24,13.683002464581314,14.087676339119549,14.35909536130683
INTER,HAZ,Madera,1.85609640664678,1.9204695780544392,1.9406796817465826
INTER,HAZ,Adobe,,,
INTER,HAZ,Hormigón 8-9,0.06986185298666941,0.08131414567858715,0.08641430073411174
INTRA,NAC,Albañilería,34.28018419929219,45.66208015464881,50.447453711936554
INTRA,NAC,Hormigón 1-3,28.995663371813404,29.219683883837856,31.701996569090074
INTRA,NAC,Hormigón 4-7,12.67397314195684,13.725555650253634,18.56880274465484
INTRA,NAC,Hormigón 10-24,5.275215784374102,7.215337638060962,13.675288391207513
INTRA,NAC,Madera,0.5119369297227782,1.033623125632007,1.3602410983507782
INTRA,NAC,Adobe,0.439443628968745,0.622681399526428,1.6453220835808715
INTRA,NAC,Hormigón 8-9,0.7150727460279112,1.0279024739257494,2.0987817677039593
INTRA,HAZ,Albañilería,50.89545519404555,52.813121984317405,53.62586054553121
INTRA,HAZ,Hormigón 1-3,18.70518957282519,20.077484368160796,20.19595964045993
INTRA,HAZ,Hormigón 4-7,11.65604603061369,11.949633690666069,12.459198020301669
INTRA,HAZ,Hormigón 10-24,12.409869028980676,12.81920447564308,16.04859292303771
INTRA,HAZ,Madera,1.8143734339137692,1.9843444776660224,2.1253197105699
INTRA,HAZ,Adobe,,,
INTRA,HAZ,Hormigón 8-9,0.06483153731515835,0.06871944135766449,0.1004704366356116
