Scenario,Group,CAT,p16,p50,p84
FSR,NAC,Albañilería,8.304359294701023,9.283302267118316,19.89549414494574
FSR,NAC,Hormigón 1-3,19.907223153907523,20.202324703662995,38.74780277081359
FSR,NAC,Hormigón 4-7,13.402892207440631,15.836474679044473,28.289213084595982
FSR,NAC,Hormigón 10-24,14.985247041167385,20.24429851292063,35.09584623526683
FSR,NAC,Madera,2.343873267886005,3.355583449990756,9.034043684435938
FSR,NAC,Adobe,51.49458962893739,55.03104220762847,70.57328669167113
FSR,NAC,Hormigón 8-9,14.312616073621328,20.60604252298936,35.64663193596851
FSR,HAZ,Albañilería,40.67392992366679,42.74389000877344,58.05973688494902
FSR,HAZ,Hormigón 1-3,41.750696487541006,44.56982393261343,59.73485915636927
FSR,HAZ,Hormigón 4-7,38.74993770961724,42.13674807492708,57.55110098518199
FSR,HAZ,Hormigón 10-24,48.468745471306214,49.65112152724857,60.122217193262685
FSR,HAZ,Madera,31.923523958300837,32.33313364492053,47.27547159156879
FSR,HAZ,Adobe,,,
FSR,HAZ,Hormigón 8-9,51.588538022566276,51.700726628307066,65.52062060158536
INTER,NAC,Albañilería,3.052519486203194,5.050718240012947,9.894456421225007
INTER,NAC,Hormigón 1-3,6.402265825139268,10.172670515693607,17.31155146418936
INTER,NAC,Hormigón 4-7,5.637525742107223,9.112184340057686,13.864433240226967
INTER,NAC,Hormigón 10-24,7.966175265423465,10.471066641487003,21.929898148768697
INTER,NAC,Madera,1.168591554867381,1.8132110313040892,4.124921807438962
INTER,NAC,Adobe,27.11428189320393,35.777407388086154,47.512267404983085
INTER,NAC,Hormigón 8-9,8.198370910482577,10.707446258670979,22.49248619821954
INTER,HAZ,Albañilería,20.717934267035524,27.75049199416097,37.43144234128075
INTER,HAZ,Hormigón 1-3,20.343464089541957,26.99209865388989,36.35569545599448
INTER,HAZ,Hormigón 4-7,23.22484637411632,29.603491371836753,38.66026311521922
INTER,HAZ,Hormigón 10-24,27.21944963235933,36.938112567512206,47.12076018406124
INTER,HAZ,Madera,15.567455742025748,21.130362647577545,28.86430270299989
INTER,HAZ,Adobe,,,
INTER,HAZ,Hormigón 8-9,29.944504844980386,37.71981895639557,44.140972110008605
INTRA,NAC,Albañilería,1.4567545022288628,13.693946558612158,27.218772035944244
INTRA,NAC,Hormigón 1-3,3.1904713403422136,22.42501264191562,40.32628436285529
INTRA,NAC,Hormigón 4-7,3.654689238749001,17.4991819239018,31.671263517210097
INTRA,NAC,Hormigón 10-24,3.111402827513225,11.233245185233768,18.098540836758698
INTRA,NAC,Madera,0.45343476177976993,6.2645430894422915,15.296789843921296
INTRA,NAC,Adobe,20.928377098191387,54.197511906177766,70.9698444439275
INTRA,NAC,Hormigón 8-9,3.1337160248920215,10.502026223452198,17.57787351161318
INTRA,HAZ,Albañilería,15.142171755299435,43.45272473388482,59.77580835017935
INTRA,HAZ,Hormigón 1-3,14.299056809520879,42.15908585657465,57.620056351181645
INTRA,HAZ,Hormigón 4-7,16.671272289700827,44.30079097230791,58.544237211966
INTRA,HAZ,Hormigón 10-24,22.92578001616539,52.31643778803681,66.41961837561952
INTRA,HAZ,Madera,11.25099607775125,34.02885765417359,49.3776688968366
INTRA,HAZ,Adobe,,,
INTRA,HAZ,Hormigón 8-9,25.740500731584206,47.773450750437334,62.23103721546539
