custom_site_id,lon,lat,value
66j81k92,-70.95896,-33.72511,-0.3001205027103424
66j81kt0,-70.95357,-33.72519,-0.3123524859547615
66j81s90,-70.94817,-33.72528,-0.3060804978013038
66j81smp,-70.94278,-33.72536,-0.3051715046167374
66j81u2z,-70.93738,-33.72545,-0.3029984906315804
66j81uky,-70.93199,-33.72553,-0.30578598380088806
66j84h2y,-70.9266,-33.72562,-0.3041829913854599
66j84hkv,-70.9212,-33.7257,-0.28840749710798264
66j84k2t,-70.91581,-33.72578,-0.2880885004997254
66j84kks,-70.91041,-33.72587,-0.28720050305128103
66j84s2s,-70.90502,-33.72595,-0.2872599959373474
66j84sk7,-70.89963,-33.72603,-0.28961050510406505
66j84u27,-70.89423,-33.72612,-0.2776139900088311
66j84uk6,-70.88884,-33.7262,-0.2737295106053353
66j85h26,-70.88344,-33.72628,-0.27121349424123775
66j85hk1,-70.87805,-33.72636,-0.2711135074496269
66j85k21,-70.87266,-33.72644,-0.27697598934173595
66j85kk0,-70.86726,-33.72653,-0.2706510126590729
66j85krb,-70.86187,-33.72661,-0.2684159949421882
66j85s5z,-70.85647,-33.72669,-0.25026199966669094
66j85spz,-70.85108,-33.72677,-0.2598705068230629
66j85u5y,-70.84568,-33.72685,-0.2547435015439987
66j85upw,-70.84029,-33.72693,-0.24243651330471042
66j8hh5t,-70.8349,-33.72701,-0.2319064922630787
66j8hhpt,-70.8295,-33.72709,-0.22968348860740667
66j8hk5k,-70.82411,-33.72717,-0.2255129888653756
66j8hkpk,-70.81871,-33.72725,-0.21849648654460907
66j8hs5k,-70.81332,-33.72733,-0.21528949961066252
66j8hsp5,-70.80792,-33.72741,-0.2176005132496357
66j8hu55,-70.80253,-33.72749,-0.214055985212326
66j8hup4,-70.79714,-33.72757,-0.20957650244235992
66j8jh54,-70.79174,-33.72765,-0.20581348240375522
66j8jhnc,-70.78635,-33.72772,-0.20842450857162478
66j8jk4c,-70.78095,-33.7278,-0.2109199911355972
66j8jknb,-70.77556,-33.72788,-0.20795450359582898
66j8js48,-70.77016,-33.72796,-0.185666486620903
66j8jeyx,-70.76477,-33.72803,-0.17564201354980472
66j8jgfx,-70.75937,-33.72811,-0.18536249548196787
66j8jgyx,-70.75398,-33.72819,-0.19026648998260498
66j8n5fq,-70.74858,-33.72826,-0.16259051114320758
66j8n5yq,-70.74319,-33.72834,-0.16974198818206787
66j8n7fm,-70.73779,-33.72842,-0.14949499070644381
66j8n7yj,-70.7324,-33.72849,-0.1447995007038116
66j8nefh,-70.72701,-33.72857,-0.14769048988819122
66j8neyh,-70.72161,-33.72864,-0.1552170142531395
66j8ngf5,-70.71622,-33.72872,-0.1310929879546165
66j8ngvg,-70.71082,-33.72879,-0.12677048891782763
66j8p5cg,-70.70543,-33.72887,-0.1245570033788681
66j8p5vf,-70.70003,-33.72894,-0.12271150946617126
66j8p7cd,-70.69464,-33.72902,-0.11027699708938604
66j8p7v9,-70.68924,-33.72909,-0.1049205064773559
66j8pec9,-70.68385,-33.72916,-0.09684200584888458
66j8pev8,-70.67845,-33.72924,-0.09370452165603638
66j8pgc2,-70.67306,-33.72931,-0.10190250724554056
66j8pgv2,-70.66766,-33.72938,-0.1016850098967553
66jb059r,-70.66227,-33.72946,-0.10144200921058658
66jb05tp,-70.65687,-33.72953,-0.10713699460029602
66jb079n,-70.65148,-33.7296,-0.09340400993824
66jb07tn,-70.64608,-33.72967,-0.08593700826168069
66jb0e9j,-70.64069,-33.72975,-0.07087650150060648
66jb0esv,-70.63529,-33.72982,-0.05908299982547757
66jb0g8v,-70.6299,-33.72989,-0.06271899491548538
66jb0gsu,-70.6245,-33.72996,-0.05400750041008001
66jb158s,-70.61911,-33.73003,-0.036515504121780396
66jb15se,-70.61371,-33.7301,-0.04316249489784246
66jb178e,-70.60832,-33.73017,-0.021742492914199774
66jb17se,-70.60292,-33.73024,-0.0146424919366836
66jb1e86,-70.59752,-33.73031,-0.006033509969711304
66jb1es6,-70.59213,-33.73038,0.005040004849433843
66jb1g83,-70.58674,-33.73045,0.014168485999107416
66jb1gs1,-70.58134,-33.73052,0.027619495987892095
66jb4581,-70.57594,-33.73059,0.033643499016761835
66jb45s0,-70.57055,-33.73066,0.04760000109672541
66jb4780,-70.56515,-33.73073,0.0776155143976211
66jb477z,-70.55976,-33.7308,0.05913248658180237
66jb47rz,-70.55436,-33.73086,0.09152399003505712
66jb4e7z,-70.54897,-33.73093,0.10136900842189789
66jb4erw,-70.54357,-33.731,0.11032749712467194
66jb4g7w,-70.53818,-33.73106,0.1312634944915771
66jb4grt,-70.53278,-33.73113,0.16102451086044312
66jb557t,-70.52739,-33.7312,0.15493100881576538
66jb55rm,-70.52199,-33.73127,0.1854694932699203
66jb577k,-70.51659,-33.73133,0.16826851665973658
66jb57rk,-70.5112,-33.7314,0.1838499903678894
66jb5e7h,-70.5058,-33.73146,0.177789494395256
66jb5er5,-70.50041,-33.73153,0.1794364750385285
66jb5g75,-70.49501,-33.7316,0.185080498456955
66j81m37,-70.95886,-33.7206,-0.3083259910345077
66j81mm6,-70.95346,-33.72068,-0.2975499853491783
66j81t34,-70.94807,-33.72077,-0.2967524975538254
66j81tm1,-70.94268,-33.72085,-0.2828049883246422
66j81v31,-70.93728,-33.72094,-0.2985934913158417
66j81vkb,-70.93189,-33.72102,-0.29405749589204794
66j84j2b,-70.9265,-33.72111,-0.3112879917025566
66j84jhz,-70.9211,-33.72119,-0.2872214913368225
66j84m0z,-70.91571,-33.72128,-0.2872984856367111
66j84mhw,-70.91031,-33.72136,-0.2866865172982216
66j84t0w,-70.90492,-33.72144,-0.28258851170539856
66j84tht,-70.89953,-33.72153,-0.28171198815107346
66j84v0m,-70.89413,-33.72161,-0.2736855074763298
66j84vhk,-70.88874,-33.72169,-0.2924999967217446
66j85j0k,-70.88335,-33.72177,-0.2731739878654481
66j85jh7,-70.87795,-33.72186,-0.2722199857234955
66j85m05,-70.87256,-33.72194,-0.2731614932417869
66j85mh4,-70.86716,-33.72202,-0.27108151465654373
66j85t04,-70.86177,-33.7221,-0.2507645040750503
66j85t5f,-70.85638,-33.72218,-0.26439551264047617
66j85tpc,-70.85098,-33.72226,-0.25906848162412655
66j85v5c,-70.84559,-33.72234,-0.2555804923176766
66j85vp8,-70.84019,-33.72242,-0.24119151011109352
66j8hj58,-70.8348,-33.7225,-0.2276215106248856
66j8hhzx,-70.82941,-33.72258,-0.22544551268219953
66j8hkgx,-70.82401,-33.72266,-0.22867298871278763
66j8hkzq,-70.81862,-33.72274,-0.21674049645662308
66j8hsgq,-70.81322,-33.72282,-0.21242099627852443
66j8hszm,-70.80783,-33.7229,-0.20782949402928352
66j8hugj,-70.80244,-33.72298,-0.2152904979884625
66j8huzh,-70.79704,-33.72306,-0.23479750007390982
66j8jhgh,-70.79165,-33.72314,-0.21251051127910608
66j8jhzh,-70.78625,-33.72322,-0.2149360030889511
66j8jkfg,-70.78086,-33.72329,-0.2093634977936745
66j8jkyg,-70.77546,-33.72337,-0.2037210017442703
66j8jsff,-70.77007,-33.72345,-0.19263701140880593
66j8jsyd,-70.76468,-33.72353,-0.1962440013885499
66j8juf9,-70.75928,-33.7236,-0.1852674931287765
66j8juy9,-70.75389,-33.72368,-0.1735104992985725
66j8nhf8,-70.74849,-33.72376,-0.1754734888672829
66j8nhy2,-70.7431,-33.72383,-0.1615989953279495
66j8nkdr,-70.7377,-33.72391,-0.14903950691223147
66j8nkwr,-70.73231,-33.72398,-0.15744899958372116
66j8nsdp,-70.72692,-33.72406,-0.147552989423275
66j8nswn,-70.72152,-33.72414,-0.13714949786663058
66j8nudn,-70.71613,-33.72421,-0.1376470103859901
66j8nuwj,-70.71073,-33.72429,-0.13297901302576073
66j8ph9v,-70.70534,-33.72436,-0.12878751754760742
66j8phtu,-70.69994,-33.72444,-0.1086995005607605
66j8pk9u,-70.69455,-33.72451,-0.10268250107765203
66j8pkts,-70.68915,-33.72458,-0.09997852146625519
66j8ps9e,-70.68376,-33.72466,-0.0944299995899201
66j8pste,-70.67836,-33.72473,-0.0805905014276504
66j8pu9d,-70.67297,-33.7248,-0.078726977109909
66j8put6,-70.66757,-33.72488,-0.0881740152835846
66jb0h93,-70.66218,-33.72495,-0.10686048865318301
66jb0ht3,-70.65678,-33.72502,-0.10241449624300003
66jb0k91,-70.65139,-33.72509,-0.10130200535058984
66jb0kt0,-70.646,-33.72517,-0.0928299948573112
66jb0s90,-70.6406,-33.72524,-0.07192750275135049
66jb0smp,-70.63521,-33.72531,-0.071287490427494
66jb0u2z,-70.62981,-33.72538,-0.05503799766302109
66jb0ukz,-70.62442,-33.72545,-0.05581401288509372
66jb1h2y,-70.61902,-33.72552,-0.04232300817966461
66jb1hkw,-70.61363,-33.72559,-0.040301486849784796
66jb1k2t,-70.60823,-33.72566,-0.01493498682975769
66jb1kkt,-70.60284,-33.72573,-0.01363798975944519
66jb1s2s,-70.59744,-33.7258,-0.0009049922227859497
66jb1skk,-70.59205,-33.72587,0.0011219829320908148
66jb1u2k,-70.58665,-33.72594,0.016992002725601196
66jb1uk7,-70.58126,-33.72601,0.02926701307296753
66jb4h25,-70.57586,-33.72608,0.044575005769729614
66jb4hk4,-70.57047,-33.72615,0.058581992983818
66jb4k24,-70.56507,-33.72622,0.0690270066261291
66jb4kk4,-70.55968,-33.72629,0.07867850363254553
66jb4krc,-70.55428,-33.72636,0.09032300114631647
66jb4s7c,-70.54889,-33.72642,0.0948100090026856
66jb4srb,-70.54349,-33.72649,0.10976800322532648
66jb4u78,-70.5381,-33.72656,0.11366899311542517
66jb4ur8,-70.5327,-33.72662,0.16375800967216492
66jb5h5x,-70.52731,-33.72669,0.1569689810276031
66jb5hpx,-70.52191,-33.72676,0.18691100180149078
66jb5k5r,-70.51652,-33.72682,0.1702000200748443
66jb5kpq,-70.51112,-33.72689,0.17709149420261389
66jb5s5q,-70.50572,-33.72696,0.17446397244930262
66jb5spj,-70.50033,-33.72702,0.18332000076770782
66jb5u5j,-70.49494,-33.72709,0.1844014972448349
66j81q1m,-70.95876,-33.71609,-0.30403049290180206
66j81qjm,-70.95336,-33.71618,-0.30090251564979553
66j81w1k,-70.94797,-33.71626,-0.2975029870867729
66j81wjh,-70.94258,-33.71635,-0.2994104847311973
66j81y15,-70.93718,-33.71643,-0.2859490141272545
66j81yj5,-70.93179,-33.71652,-0.3012704998254776
66j84n0f,-70.9264,-33.7166,-0.2997859865427017
66j84nhf,-70.921,-33.71668,-0.2940229848027229
66j84q0c,-70.91561,-33.71677,-0.2864505052566529
66j84qhc,-70.91021,-33.71685,-0.2944140061736107
66j84w08,-70.90482,-33.71694,-0.2891284897923469
66j84wh8,-70.89943,-33.71702,-0.2881199941039086
66j84vbx,-70.89403,-33.7171,-0.2881675064563751
66j84vur,-70.88864,-33.71718,-0.2657204866409302
66j85jbq,-70.88325,-33.71727,-0.2791994884610176
66j85juq,-70.87785,-33.71735,-0.2724669948220253
66j85mbj,-70.87246,-33.71743,-0.26903198659420013
66j85muj,-70.86707,-33.71751,-0.2620395123958588
66j85tbh,-70.86167,-33.71759,-0.2597834840416908
66j85tuh,-70.85628,-33.71768,-0.2591115087270737
66j85tzg,-70.85089,-33.71776,-0.2554145082831383
66j85vgg,-70.84549,-33.71784,-0.2578285038471222
66j85vzf,-70.8401,-33.71792,-0.2631399892270565
66j8hjgd,-70.8347,-33.718,-0.2431819960474968
66j8hjz9,-70.82931,-33.71808,-0.23297401145100588
66j8hmg9,-70.82392,-33.71816,-0.2262050099670887
66j8hmz9,-70.81852,-33.71824,-0.21455299854278573
66j8htg2,-70.81313,-33.71832,-0.2131425030529499
66j8htz2,-70.80773,-33.7184,-0.2084250152111053
66j8hver,-70.80234,-33.71847,-0.21440800279378888
66j8hvxp,-70.79695,-33.71855,-0.2161480076611042
66j8jjen,-70.79155,-33.71863,-0.21305900067090988
66j8jjxn,-70.78616,-33.71871,-0.2159690037369728
66j8jmej,-70.78076,-33.71879,-0.21929999440908432
66j8jmwv,-70.77537,-33.71886,-0.20761098712682724
66j8jtdu,-70.76998,-33.71894,-0.19537449628114703
66j8jtwu,-70.76458,-33.71902,-0.20015200972557068
